mug	0	0	0	0.9939226	0.2930084	-4.920146
bread	0	0	0	3.033923	0.2000663	-4.930146
bookPile	0	69.44	0	0.1939225	1.280081	-0.3901465
microwave	0	180	0	1.833923	1.384842	-0.2501465
hat	90	0	0	0.4939223	1.280172	-1.260146
glassContainer	0	0	0	4.183923	0.25	-3.530147
mixer	0	-90	0	4.083922	1.113645	-2.150146
toy	0	-109.73	0	4.215696	1.621506	-4.181202
kitchenRoll	0	30	0	0.2439227	1.312402	-2.390146
saucepan	0	30	0	0.36	1.242571	-1.96
helmet	0	0	0	2.773923	0.8582769	-2.820147
towel	0	20	0	0.4939226	1.987109	-4.950147
fruitBowl	0	0	0	0.2439227	1.809328	-2.407146
dishes	90	0	0	0.4139225	0.8067632	-3.790147
toaster	0	170.43	0	1.2	1.916082	-0.05380675
umbrella	0	148.75	0	0.1839225	1.807582	-0.6001465
fan	0	164.3	0	3.3	1.243644	-1.98
teaPot	0	20	0	4.013923	0.31625	-0.3401465
calendar	0	160.7	0	1.233923	1.201967	-0.2301465
knife	0	57	0	0.6339226	1.206172	-0.1201465
