microwave	0	90	0	0.3839226	1.416172	-2.020146
kitchenRoll	0	30	0	4.203923	1.609081	-4.230143
saucepan	0	0	0	3.373923	1.109515	-2.100147
toaster	0	-108.13	0	0.1789228	1.916203	-2.4
fruitBowl	0	0	0	3.033923	0.1961719	-4.930146
teaPot	0	73.88	0	0.2124771	1.316172	-0.5152695
knife	0	57	0	0.6339226	1.206172	-0.1201465
mixer	0	180	0	1.233923	1.21	-0.2301465
bread	0	0	0	0.9939226	0.25	-4.920146
glassContainer	0	18.4	0	4.013923	0.25	-0.3401465
mug	0	0	0	1.833923	1.250172	-0.2501465
dishes	90	0	0	2.773923	0.8	-2.830147
towel	0	35	0	0.4	0.84	-3.8
toy	0	-75.48	0	4.183923	0.3161718	-3.510147
bookPile	0	58.71	0	0.1839225	1.8756	-0.6001465
umbrella	0	20	0	4.083922	1.156172	-2.150146
hat	90	0	0	0.2298894	1.289623	-2.377851
helmet	0	0	80	0.3739224	1.270172	-1.220146
calendar	0	-15.81	0	0.4939226	1.96	-4.950147
fan	0	60	0	1.04	1.939	-0.12
