"subNum","objNum","kitchen","expectancy","recollection","familiar","guess","noMemory"
30,"glass jug","kitchen",71.986971,"not recollected","familiar","not guessed",0
30,"mug","kitchen",89.739414,"not recollected","familiar","not guessed",0
30,"dishes","kitchen",-100,"recollected","not familiar","not guessed",0
30,"towels","non-kitchen",20.19544,"not recollected","familiar","not guessed",0
30,"toy","non-kitchen",84.85342,"recollected","not familiar","not guessed",0
30,"pile of books","non-kitchen",-30.130293,"recollected","not familiar","not guessed",0
30,"umbrella","non-kitchen",49.837134,"recollected","not familiar","not guessed",0
30,"hat","non-kitchen",12.703583,"not recollected","familiar","not guessed",0
30,"helmet","non-kitchen",-57.003257,"not recollected","not familiar","guessed",0
30,"calendar","non-kitchen",85.179153,"recollected","not familiar","not guessed",0
30,"fan","non-kitchen",-74.7557,"recollected","not familiar","not guessed",0
31,"microwave","kitchen",86.807818,"not recollected","familiar","not guessed",0
31,"kitchen roll","kitchen",39.739414,"recollected","not familiar","not guessed",0
31,"saucepan","kitchen",85.504886,"not recollected","not familiar","guessed",0
31,"toaster","kitchen",-30.781759,"not recollected","familiar","not guessed",0
31,"bowl of fruits","kitchen",49.022801,"recollected","not familiar","not guessed",0
31,"tea pot","kitchen",7.654723,"not recollected","not familiar","guessed",0
31,"knife","kitchen",-19.218241,"recollected","not familiar","not guessed",0
31,"mixer","kitchen",-14.983713,"not recollected","familiar","not guessed",0
31,"bread","kitchen",18.241042,"recollected","not familiar","not guessed",0
31,"glass jug","kitchen",65.960912,"recollected","not familiar","not guessed",0
31,"mug","kitchen",89.087948,"not recollected","familiar","not guessed",0
31,"dishes","kitchen",-47.23127,"recollected","not familiar","not guessed",0
31,"towels","non-kitchen",55.700326,"not recollected","familiar","not guessed",0
31,"toy","non-kitchen",61.400651,"recollected","not familiar","not guessed",0
31,"pile of books","non-kitchen",-34.690554,"not recollected","not familiar","guessed",0
31,"umbrella","non-kitchen",-19.381107,"recollected","not familiar","not guessed",0
31,"hat","non-kitchen",-9.446254,"recollected","not familiar","not guessed",0
31,"helmet","non-kitchen",-64.820847,"not recollected","not familiar","guessed",0
31,"calendar","non-kitchen",53.745928,"recollected","not familiar","not guessed",0
31,"fan","non-kitchen",-9.771987,"recollected","not familiar","not guessed",0
32,"microwave","kitchen",94.788274,"recollected","not familiar","not guessed",0
32,"kitchen roll","kitchen",82.410423,"not recollected","not familiar","guessed",0
32,"saucepan","kitchen",89.739414,"recollected","not familiar","not guessed",0
32,"toaster","kitchen",-90.716612,"recollected","not familiar","not guessed",0
32,"bowl of fruits","kitchen",-78.175896,"not recollected","not familiar","guessed",0
32,"tea pot","kitchen",-54.885993,"not recollected","not familiar","guessed",0
32,"knife","kitchen",-23.941368,"recollected","not familiar","not guessed",0
32,"mixer","kitchen",40.065147,"not recollected","not familiar","guessed",0
32,"bread","kitchen",-54.560261,"recollected","not familiar","not guessed",0
32,"glass jug","kitchen",65.472313,"recollected","not familiar","not guessed",0
