4 	59.75000 	39.7500 	46.83333 	16 	4 	10
12 	116.50000 	44.5000 	155.58333 	13 	10 	12
20 	310.50000 	106.8333 	138.75000 	5 	16 	6
9 	215.58333 	111.5000 	278.75000 	1 	15 	18
17 	120.25000 	129.4167 	27.75000 	11 	6 	13
5 	111.75000 	130.0000 	273.83333 	10 	11 	9
18 	154.08333 	141.2500 	153.16667 	6 	9 	2
7 	74.16667 	141.5833 	324.08333 	4 	13 	7
6 	254.33333 	160.1667 	53.66667 	15 	5 	4
16 	124.16667 	163.6667 	155.08333 	7 	8 	14
15 	161.16667 	167.1667 	211.58333 	2 	1 	8
13 	163.00000 	184.1667 	145.08333 	12 	14 	5
19 	290.91667 	198.3333 	276.25000 	8 	20 	1
8 	261.91667 	203.1667 	52.25000 	9 	18 	16
14 	284.50000 	230.5000 	253.83333 	17 	12 	11
1 	165.33333 	256.7500 	231.83333 	18 	19 	20
10 	321.00000 	282.5000 	302.16667 	19 	7 	3
2 	335.83333 	330.7500 	348.25000 	20 	17 	19
3 	317.58333 	369.8333 	226.00000 	3 	2 	15
11 	348.83333 	379.2500 	365.58333 	14 	3 	17
