"subNum","objNum","kitchen","expectancy","recollection"
32,"bread","kitchen",-54.560261,"recollected"
32,"glass jug","kitchen",65.472313,"recollected"
32,"mug","kitchen",86.482085,"not recollected"
32,"dishes","kitchen",-100,"not recollected"
32,"towels","non-kitchen",69.543974,"recollected"
32,"toy","non-kitchen",47.71987,"recollected"
32,"pile of books","non-kitchen",-60.09772,"not recollected"
32,"umbrella","non-kitchen",-68.078176,"recollected"
32,"hat","non-kitchen",-70.032573,"not recollected"
32,"helmet","non-kitchen",8.143322,"not recollected"
32,"calendar","non-kitchen",-50.325733,"recollected"
32,"fan","non-kitchen",79.967427,"not recollected"
33,"microwave","kitchen",47.23127,"not recollected"
33,"kitchen roll","kitchen",100,"recollected"
33,"saucepan","kitchen",38.925081,"not recollected"
33,"toaster","kitchen",100,"recollected"
33,"bowl of fruits","kitchen",-55.537459,"not recollected"
33,"tea pot","kitchen",-100,"not recollected"
33,"knife","kitchen",100,"recollected"
33,"mixer","kitchen",-54.234528,"not recollected"
33,"bread","kitchen",65.635179,"recollected"
33,"glass jug","kitchen",-24.429967,"not recollected"
33,"mug","kitchen",-18.403909,"not recollected"
33,"dishes","kitchen",100,"recollected"
33,"towels","non-kitchen",-77.687296,"not recollected"
33,"toy","non-kitchen",100,"recollected"
33,"pile of books","non-kitchen",39.576547,"not recollected"
33,"umbrella","non-kitchen",69.055375,"not recollected"
33,"hat","non-kitchen",100,"recollected"
33,"helmet","non-kitchen",19.218241,"not recollected"
33,"calendar","non-kitchen",100,"recollected"
33,"fan","non-kitchen",100,"recollected"
34,"microwave","kitchen",70.521173,"not recollected"
34,"kitchen roll","kitchen",19.381107,"recollected"
34,"saucepan","kitchen",80.618893,"recollected"
34,"toaster","kitchen",-83.550489,"recollected"
34,"bowl of fruits","kitchen",31.107492,"recollected"
34,"tea pot","kitchen",51.791531,"not recollected"
34,"knife","kitchen",-50.162866,"recollected"
34,"mixer","kitchen",19.869707,"recollected"
34,"bread","kitchen",-17.100977,"not recollected"
34,"glass jug","kitchen",88.925081,"not recollected"
34,"mug","kitchen",92.18241,"not recollected"
34,"dishes","kitchen",-84.364821,"not recollected"
34,"towels","non-kitchen",-55.700326,"not recollected"
34,"toy","non-kitchen",-30.130293,"not recollected"
34,"pile of books","non-kitchen",0.162866,"recollected"
34,"umbrella","non-kitchen",-45.439739,"not recollected"
34,"hat","non-kitchen",-28.827362,"not recollected"
34,"helmet","non-kitchen",26.221498,"recollected"
34,"calendar","non-kitchen",48.534202,"recollected"
34,"fan","non-kitchen",-34.85342,"recollected"
35,"microwave","kitchen",99.674267,"recollected"
35,"kitchen roll","kitchen",0.325733,"not recollected"
35,"saucepan","kitchen",89.90228,"recollected"
35,"toaster","kitchen",-99.511401,"recollected"
35,"bowl of fruits","kitchen",-12.703583,"recollected"
35,"tea pot","kitchen",-43.973941,"recollected"
35,"knife","kitchen",-67.589577,"not recollected"
35,"mixer","kitchen",-13.843648,"recollected"
35,"bread","kitchen",-35.993485,"not recollected"
35,"glass jug","kitchen",18.729642,"not recollected"
35,"mug","kitchen",92.833876,"recollected"
35,"dishes","kitchen",-85.34202,"recollected"
35,"towels","non-kitchen",100,"recollected"
35,"toy","non-kitchen",65.798046,"recollected"
35,"pile of books","non-kitchen",-91.205212,"recollected"
35,"umbrella","non-kitchen",-56.840391,"recollected"
35,"hat","non-kitchen",-64.006515,"not recollected"
35,"helmet","non-kitchen",-100,"recollected"
35,"calendar","non-kitchen",96.579805,"recollected"
35,"fan","non-kitchen",-64.65798,"not recollected"
36,"microwave","kitchen",52.442997,"not recollected"
36,"kitchen roll","kitchen",40.716612,"not recollected"
36,"saucepan","kitchen",88.436482,"not recollected"
36,"toaster","kitchen",-100,"recollected"
36,"bowl of fruits","kitchen",-34.527687,"not recollected"
36,"tea pot","kitchen",76.872964,"not recollected"
36,"knife","kitchen",-100,"recollected"
36,"mixer","kitchen",23.778502,"not recollected"
36,"bread","kitchen",-49.185668,"recollected"
36,"glass jug","kitchen",10.260586,"not recollected"
36,"mug","kitchen",100,"not recollected"
36,"dishes","kitchen",-100,"recollected"
36,"towels","non-kitchen",-7.980456,"not recollected"
36,"toy","non-kitchen",81.433225,"recollected"
36,"pile of books","non-kitchen",-44.625407,"not recollected"
36,"umbrella","non-kitchen",-100,"not recollected"
36,"hat","non-kitchen",-4.234528,"recollected"
36,"helmet","non-kitchen",-100,"not recollected"
36,"calendar","non-kitchen",-5.537459,"not recollected"
36,"fan","non-kitchen",-3.257329,"recollected"
37,"microwave","kitchen",-100,"recollected"
37,"kitchen roll","kitchen",100,"not recollected"
37,"saucepan","kitchen",8.306189,"not recollected"
37,"toaster","kitchen",100,"not recollected"
37,"bowl of fruits","kitchen",51.302932,"not recollected"
37,"tea pot","kitchen",49.185668,"not recollected"
37,"knife","kitchen",-100,"not recollected"
37,"mixer","kitchen",100,"not recollected"
37,"bread","kitchen",47.71987,"not recollected"
37,"glass jug","kitchen",-57.32899,"not recollected"
37,"mug","kitchen",100,"not recollected"
37,"dishes","kitchen",100,"recollected"
37,"towels","non-kitchen",-100,"not recollected"
37,"toy","non-kitchen",-100,"recollected"
37,"pile of books","non-kitchen",0,"not recollected"
37,"umbrella","non-kitchen",0.162866,"not recollected"
37,"hat","non-kitchen",100,"recollected"
37,"helmet","non-kitchen",0.162866,"recollected"
37,"calendar","non-kitchen",95.928339,"not recollected"
37,"fan","non-kitchen",0,"not recollected"
38,"microwave","kitchen",97.23127,"recollected"
38,"kitchen roll","kitchen",21.009772,"recollected"
38,"saucepan","kitchen",56.514658,"not recollected"
38,"toaster","kitchen",-96.416938,"recollected"
38,"bowl of fruits","kitchen",18.566775,"not recollected"
38,"tea pot","kitchen",-62.540717,"recollected"
38,"knife","kitchen",-39.087948,"not recollected"
38,"mixer","kitchen",-84.85342,"recollected"
38,"bread","kitchen",-80.618893,"recollected"
38,"glass jug","kitchen",-84.039088,"not recollected"
38,"mug","kitchen",71.335505,"not recollected"
38,"dishes","kitchen",-90.879479,"not recollected"
38,"towels","non-kitchen",-60.749186,"not recollected"
38,"toy","non-kitchen",-6.188925,"recollected"
38,"pile of books","non-kitchen",30.618893,"not recollected"
38,"umbrella","non-kitchen",-53.094463,"not recollected"
38,"hat","non-kitchen",-86.319218,"recollected"
38,"helmet","non-kitchen",-49.837134,"not recollected"
38,"calendar","non-kitchen",30.944625,"not recollected"
38,"fan","non-kitchen",-84.039088,"recollected"
27,"microwave","kitchen",87.13355,"not recollected"
27,"kitchen roll","kitchen",100,"recollected"
27,"saucepan","kitchen",-44.95114,"not recollected"
27,"toaster","kitchen",100,"recollected"
27,"bowl of fruits","kitchen",49.185668,"not recollected"
27,"tea pot","kitchen",57.81759,"not recollected"
27,"knife","kitchen",29.80456,"not recollected"
