9	85.83333  33.08333  71.00000    12    4    13
5	95.25000  60.58333  41.16667     6   13    16
4	52.00000  66.75000  46.83333     5   12    10
12	50.83333  80.00000 161.83333    16    6     5
19	89.66667  95.00000 158.83333    13   10     7
17	77.50000 106.58333  84.83333    10   16     4
1	129.58333 127.66667 266.33333    11   14     3
16	217.33333 152.75000 189.50000    18    1    12
15	341.75000 161.16667 298.00000    15    2    11
13	200.08333 208.25000 248.83333     3    7     9
14	281.91667 253.83333 156.33333     4   11     1
18	141.25000 257.00000 139.66667     9    5     8
8	210.66667 261.91667 295.83333    17    9    20
10	319.41667 283.50000 255.16667    20   15    14
20	217.00000 284.83333 138.75000     2   19     6
3	258.41667 317.58333 297.50000     1    3    17
2	335.25000 328.83333 227.25000     7    8    15
7	324.58333 338.25000 359.91667    19   20     2
6	322.41667 347.25000 318.25000     8   18    19
11	348.83333 365.58333 378.66667    14   17    18
