microwave	0	180	0	4.083922	1.306172	-2.150146
kitchenRoll	0	30	0	4.203923	1.606172	-4.230143
saucepan	0	30	0	0.4139225	1.256172	-2.024787
toaster	0	60	0	0.1789228	1.806172	-2.519731
fruitBowl	0	0	0	0.9939226	0.2761719	-4.920146
teaPot	0	30	0	0.3839226	0.9861718	-3.780147
knife	40	0	0	0.4939226	2.014248	-4.877052
mixer	0	0	0	1.273923	1.806172	-0.04014654
bread	0	0	0	3.033923	0.1861719	-4.930146
glassContainer	0	0	0	0.2439227	1.212172	-2.390146
mug	0	0	0	1.833923	1.250172	-0.2501465
dishes	90	0	0	0.1839225	1.816172	-0.6101465
towel	0	150	0	0.1623199	1.246172	-0.5354093
toy	0	60	0	0.7068649	1.316172	-0.1738067
bookPile	0	40	0	1.233923	1.270172	-0.2301465
umbrella	0	60	0	4.183923	0.2161719	-3.530147
hat	90	0	0	4.013923	0.2761719	-0.3401465
helmet	0	0	0	2.773923	0.8961718	-2.820147
calendar	0	0	0	0.2139225	1.300172	-1.240146
fan	0	110	0	3.373923	1.336172	-2.100147
