microwave	0	90	0	0.3839226	1.416172	-2.020146
kitchenRoll	0	30	0	4.203923	1.606172	-4.230143
saucepan	0	0	0	1.4	1.210172	-0.2301465
toaster	0	0	0	0.2439227	0.8861719	-3.730147
fruitBowl	0	0	0	0.9939226	0.2761719	-4.920146
teaPot	0	0	0	3.033923	0.3061718	-4.930146
knife	0	0	0	2.773923	0.8461719	-2.820147
mixer	0	20	0	0.4939226	1.976172	-4.950147
bread	0	0	0	0.1839225	1.806172	-0.6001465
glassContainer	0	0	0	0.2439227	1.212172	-2.390146
mug	0	0	0	3.373923	1.186172	-2.100147
dishes	90	0	0	0.2439227	1.806172	-2.407146
towel	0	10	0	4.083922	1.176172	-2.150146
toy	0	60	0	0.7068649	1.316172	-0.1738067
bookPile	0	0	0	4.183923	0.2761719	-3.530147
umbrella	0	40	0	0.4339224	1.190172	-1.270146
hat	90	0	0	1.833923	1.280172	-0.2501465
helmet	0	0	0	0.1939225	1.276172	-0.4801464
calendar	0	40	0	1.263923	1.896172	-0.1101465
fan	0	70	0	4.013923	0.3761718	-0.3401465
