Camera (head) (UnityEngine.GameObject)	0	33852.73	1.937142	1.84804	-5.65013	0.0145473	0.9786052	0.155635
ControllerRight (UnityEngine.GameObject)	1	33852.73	2.477439	0.9490926	-6.102599	-0.1141378	-0.8009942	-0.07040881
Camera (head) (UnityEngine.GameObject)	0	33882	-2.062713	2.8605	-3.249049	0.0002032175	-0.02344909	-0.00312654
ControllerRight (UnityEngine.GameObject)	1	33882	2.477313	0.9489128	-6.103032	-0.114652	-0.8009347	-0.06987723
Camera (head) (UnityEngine.GameObject)	0	33898.41	-2.049596	2.879479	-3.233298	0.0001893285	-0.02742464	-0.003629006
ControllerRight (UnityEngine.GameObject)	1	33898.41	2.477128	0.9488915	-6.102799	-0.1146587	-0.800932	-0.06985809
Camera (head) (UnityEngine.GameObject)	0	33944.42	-2.019628	2.884539	-3.182313	0.0001551017	-0.03759624	-0.005107822
ControllerRight (UnityEngine.GameObject)	1	33944.42	2.477385	0.9490142	-6.102526	-0.1146496	-0.8009201	-0.07002507
Camera (head) (UnityEngine.GameObject)	0	33956.27	-2.010994	2.889547	-3.16922	0.0001549729	-0.04108433	-0.005558872
ControllerRight (UnityEngine.GameObject)	1	33956.27	2.47747	0.9491469	-6.10288	-0.1146747	-0.8009587	-0.06996908
Camera (head) (UnityEngine.GameObject)	0	33965.79	-2.000986	2.891414	-3.152444	0.0001513083	-0.04506207	-0.006108087
ControllerRight (UnityEngine.GameObject)	1	33965.79	2.477566	0.9491591	-6.102857	-0.1147077	-0.8009269	-0.07000342
Camera (head) (UnityEngine.GameObject)	0	33975.89	-1.989348	2.888295	-3.130862	0.000146353	-0.04969529	-0.006800779
ControllerRight (UnityEngine.GameObject)	1	33975.89	2.477577	0.9491749	-6.102868	-0.1146204	-0.8009363	-0.07002342
Camera (head) (UnityEngine.GameObject)	0	33987.96	-1.976399	2.87723	-3.104195	0.0001540561	-0.0551025	-0.007675818
ControllerRight (UnityEngine.GameObject)	1	33987.96	2.477498	0.9490436	-6.102791	-0.1146521	-0.800929	-0.07002065
Camera (head) (UnityEngine.GameObject)	0	33998.62	-1.960485	2.861385	-3.071112	0.0001710945	-0.0618399	-0.008808316
ControllerRight (UnityEngine.GameObject)	1	33998.62	2.477592	0.9490141	-6.102768	-0.1146642	-0.8009107	-0.07001033
Camera (head) (UnityEngine.GameObject)	0	34010.38	-1.942964	2.84813	-3.037371	0.0001449435	-0.06843194	-0.009988695
ControllerRight (UnityEngine.GameObject)	1	34010.38	2.477787	0.9488816	-6.102612	-0.1147439	-0.8008795	-0.06997968
Camera (head) (UnityEngine.GameObject)	0	34020.64	-1.932308	2.838278	-3.015939	0.0001160294	-0.07227331	-0.01075386
ControllerRight (UnityEngine.GameObject)	1	34020.64	2.477609	0.9487767	-6.102752	-0.1146784	-0.800939	-0.06997323
Camera (head) (UnityEngine.GameObject)	0	34032.24	-1.9097	2.837462	-2.980883	-2.969042E-05	-0.07941321	-0.01202703
ControllerRight (UnityEngine.GameObject)	1	34032.24	2.477771	0.9487277	-6.102716	-0.1147804	-0.8009221	-0.07000624
Camera (head) (UnityEngine.GameObject)	0	34043.39	-1.893004	2.851613	-2.960069	-5.421766E-05	-0.08629163	-0.01280763
ControllerRight (UnityEngine.GameObject)	1	34043.39	2.477859	0.9486111	-6.102563	-0.1148437	-0.8009141	-0.06993313
Camera (head) (UnityEngine.GameObject)	0	34054.46	-1.880116	2.840441	-2.936294	2.331501E-05	-0.09259807	-0.01376541
ControllerRight (UnityEngine.GameObject)	1	34054.46	2.477697	0.9485341	-6.102634	-0.1147275	-0.8009297	-0.06997094
Camera (head) (UnityEngine.GameObject)	0	34065.36	-1.864868	2.863802	-2.922102	-2.183377E-05	-0.0986619	-0.01420923
ControllerRight (UnityEngine.GameObject)	1	34065.36	2.477476	0.9485841	-6.102671	-0.1146605	-0.80093	-0.06994832
Camera (head) (UnityEngine.GameObject)	0	34077.41	-1.850138	2.876214	-2.904956	-4.397455E-05	-0.1046598	-0.01477668
ControllerRight (UnityEngine.GameObject)	1	34077.41	2.477432	0.948581	-6.102666	-0.1145977	-0.8009081	-0.0699826
Camera (head) (UnityEngine.GameObject)	0	34087.95	-1.837722	2.8787	-2.887506	3.962741E-05	-0.1107725	-0.01537167
ControllerRight (UnityEngine.GameObject)	1	34087.95	2.477494	0.9486974	-6.102582	-0.1145871	-0.8009295	-0.07007953
Camera (head) (UnityEngine.GameObject)	0	34098.8	-1.823129	2.886992	-2.869667	3.576828E-05	-0.1168111	-0.01593164
ControllerRight (UnityEngine.GameObject)	1	34098.8	2.477665	0.9486313	-6.102527	-0.1145938	-0.8009058	-0.07013044
Camera (head) (UnityEngine.GameObject)	0	34111.68	-1.80295	2.90789	-2.849346	-0.000164232	-0.1232808	-0.01650229
ControllerRight (UnityEngine.GameObject)	1	34111.68	2.477859	0.9485341	-6.102478	-0.1147026	-0.8009081	-0.07009537
Camera (head) (UnityEngine.GameObject)	0	34121.33	-1.784582	2.929263	-2.83172	-0.0003120154	-0.1297193	-0.01691687
ControllerRight (UnityEngine.GameObject)	1	34121.33	2.477808	0.9487061	-6.102426	-0.1146711	-0.8009204	-0.07009755
Camera (head) (UnityEngine.GameObject)	0	34132.33	-1.781736	2.940234	-2.831777	-0.0001658463	-0.1325732	-0.01670021
ControllerRight (UnityEngine.GameObject)	1	34132.33	2.477716	0.9487279	-6.102427	-0.1146909	-0.8009045	-0.07001352
Camera (head) (UnityEngine.GameObject)	0	34143.69	-1.78339	2.934866	-2.831526	0.0003646912	-0.1367976	-0.01646497
ControllerRight (UnityEngine.GameObject)	1	34143.69	2.477946	0.9488102	-6.10268	-0.1148557	-0.8009371	-0.06995465
Camera (head) (UnityEngine.GameObject)	0	34154.86	-1.784618	2.923424	-2.828153	0.001084257	-0.1423683	-0.01625241
ControllerRight (UnityEngine.GameObject)	1	34154.86	2.477884	0.9489596	-6.102683	-0.114822	-0.8009518	-0.07001161
Camera (head) (UnityEngine.GameObject)	0	34167.06	-1.779041	2.923592	-2.820265	0.001870679	-0.150635	-0.01588866
ControllerRight (UnityEngine.GameObject)	1	34167.06	2.477805	0.9489599	-6.102678	-0.1147916	-0.80095	-0.0699801
Camera (head) (UnityEngine.GameObject)	0	34179.29	-1.760881	2.942503	-2.802765	0.002524853	-0.1621756	-0.015465
ControllerRight (UnityEngine.GameObject)	1	34179.29	2.477943	0.9489489	-6.102674	-0.1147884	-0.8009467	-0.0699801
Camera (head) (UnityEngine.GameObject)	0	34190.38	-1.735029	2.958581	-2.774263	0.003274395	-0.1763978	-0.01513508
ControllerRight (UnityEngine.GameObject)	1	34190.38	2.477808	0.9489608	-6.102734	-0.114737	-0.8009477	-0.07000475
